Name:,,Your name,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Year 1:,,Fall,,,,Winter,,,,Spring,,
20XX-20XX,,Course,Title,Cr hrs,,Course,Title,Cr hrs,,Course,Title,Cr hrs
,,MA 111,Calculus I,5,,MA 112,Calculus II,5,,MA 113,Calculus III,5
,,PH 111,Physics I,4,,PH 112,Physics II,4,,CHEM 111,General Chemistry I,4
,,EM 104,Graphical Communications,2,,EM 121,Statics & Mechanics of Materials I,4,,EM 103,Introduction to Design,2
,,RHIT 100,Foundations for Rose-Hulman Success,1,,,HSSA Elective,4,,ME 123,Computer Programming,4
,,HUM H190,First-Year Writing Seminar,4,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Total cr hrs this qtr:,16,,,Total cr hrs this qtr:,17,,,Total cr hrs this qtr:,15
,,,,,,,,,,,,
,,,,,,,,,,,,
Year 2:,,Fall,,,,Winter,,,,Spring,,
20XX-20XX,,Course,Title,Cr hrs,,Course,Title,Cr hrs,,Course,Title,Cr hrs
,,MA 221,Matrix Algebra & Differential Eqns I,4,,MA 222,Matrix Algebra & Differential Eqns II,4,,MA 223,Engineering Statistics I,4
,,BIO 101,Essential Biology,4,,ES 214,Mechanical Systems,4,,ME 227,Numerical Methods,4
,,ES 201,Conservation & Accounting Principles,4,,ME 201,Applications of Thermodynamics,4,,ME 230,Mechatronic Systems,4
,,ES 213,Electrical Systems,4,,,HSSA Elective,4,,,HSSA Elective,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Total cr hrs this qtr:,16,,,Total cr hrs this qtr:,16,,,Total cr hrs this qtr:,16
,,,,,,,,,,,,
,,,,,,,,,,,,
Year 3:,,Fall,,,,Winter,,,,Spring,,
20XX-20XX,,Course,Title,Cr hrs,,Course,Title,Cr hrs,,Course,Title,Cr hrs
,,EM 204,Statics & Mechanics of Materials II,4,,ME 317,Design for Manufacturing,4,,ME 302,Heat Transfer,4
,,ES305,System Dynamics,4,,ME 321,Measurement Systems,4,,ME 328,Materials Engineering,4
,,ES 312,Fluid Systems,4,,EM or ME 306,Vibration Analysis or Control Systems,4,,ME 380,Machine Component Design,4
,,,Free Elective,4,,,HSSA Elective,4,,ENGL H290,Tech and Prof Communication,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Total cr hrs this qtr:,16,,,Total cr hrs this qtr:,16,,,Total cr hrs this qtr:,16
,,,,,,,,,,,,
,,,,,,,,,,,,
Year 4:,,Fall,,,,Winter,,,,Spring,,
20XX-20XX,,Course,Title,Cr hrs,,Course,Title,Cr hrs,,Course,Title,Cr hrs
,,ME 421,ME Lab,2,,ME 471,Capstone Design II,4,,ME 472,Capstone Design III,4
,,ME 470,Capstone Design I,4,,,Technical Elective,4,,,Technical Elective,4
,,,Technical Elective,4,,,HSSA Elective,4,,,Technical Elective,4
,,,Math/Science Elective,4,,,Free Elective,4,,,HSSA Elective,4
,,,HSSA Elective,4,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Total cr hrs this qtr:,18,,,Total cr hrs this qtr:,16,,,Total cr hrs this qtr:,16
,,,,,,,,,,,,
,,,,,,,,,,,,
Year 5:,,Fall,,,,Winter,,,,Spring,,
20XX-20XX,,Course,Title,Cr hrs,,Course,Title,Cr hrs,,Course,Title,Cr hrs
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Total cr hrs this qtr:,0,,,Total cr hrs this qtr:,0,,,Total cr hrs this qtr:,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"Pre-RHIT (AP, AMP, transfer, etc.) and summer",,,,,,,,,Total cr hrs:,194
,,Course,Title,Cr hrs,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Total cr hrs this qtr:,0,,,,,,,,
